Catalogue	Full Name	Alternatives	Species	Sample Type	Detection Range	Sensitivity	Experimental Method	Size	Marketing Price（USD）	Size	Marketing Price(USD)	Shelf Life	Gene ID	UniProtKB	Product Link
RDR-D2D-Rb	Rabbit D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Oryctolagus cuniculus Rabbit  	plasma.  	3.12-200ng/mL  	1.27ng/mL  	competitive inhibition  	96T  	664.97	48T  	465.47	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/11683/Rabbit_D_Dimer_D2D_ELISA_Kit/
RD-BK-Ra	Rat Bradykinin (BK) ELISA Kit	  	Rattus norvegicus  Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.25-2000pg/mL  	8.53pg/mL    	Competitive inhibition  	96T  	633.3	48T  	443.3	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/6630/Rat_Bradykinin_BK_ELISA_Kit/
RDR-BK-Ra	Rat Bradykinin (BK) ELISA Kit	  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.2-2000pg/mL  	8.53pg/mL  	competitive inhibition  	96T  	664.97	48T  	465.47	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/7844/Rat_Bradykinin_BK_ELISA_Kit/
RD-CYP2C19-Ra	Rat Cytochrome P450 2C19 (CYP2C19) ELISA Kit	CPCJ,CYP2C,CYPIIC17,CYPIIC19,P450C2C,Cytochrome P450-11A,Cytochrome P450-254C,Mephenytoin 4-hydroxylase,limonene 6-monooxygenase  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.781-50ng/mL  	0.29ng/mL  	sandwich  	96T  	760	48T  	532	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2196/Rat_Cytochrome_P450_2C19_CYP2C19_ELISA_Kit/
RDR-CYP2C19-Ra	Rat Cytochrome P450 2C19 (CYP2C19) ELISA Kit	CPCJ,CYP2C,CYPIIC17,CYPIIC19,P450C2C,Cytochrome P450-11A,Cytochrome P450-254C,Mephenytoin 4-hydroxylase,limonene 6-monooxygenase  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.781-50ng/mL  	0.29ng/mL  	sandwich  	96T  	798	48T  	558.6	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8229/Rat_Cytochrome_P450_2C19_CYP2C19_ELISA_Kit/
RD-D2D-Ra	Rat D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Rattus norvegicus Rat  	plasma.  	78.125-5000ng/mL  	25.2ng/mL  	competitive inhibition  	96T  	633.3	48T  	443.3	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2222/Rat_D_Dimer_D2D_ELISA_Kit/
RDR-D2D-Ra	Rat D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Rattus norvegicus Rat  	plasma.  	78.1-5000ng/mL  	25.2ng/mL  	competitive inhibition  	96T  	664.97	48T  	465.47	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/7492/Rat_D_Dimer_D2D_ELISA_Kit/
RD-PCI-Ra	Rat Procollagen I (PCI) ELISA Kit	PCOL-I,PC-I,PC1,Type I Procollagen  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.781-50ng/mL  	0.36ng/mL  	sandwich  	96T  	633.3	48T  	443.3	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/4620/Rat_Procollagen_I_PCI_ELISA_Kit/
RDR-PCI-Ra	Rat Procollagen I (PCI) ELISA Kit	PCOL-I,PC-I,PC1,Type I Procollagen  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.781-50ng/mL  	0.36ng/mL  	sandwich  	96T  	664.97	48T  	465.47	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/7453/Rat_Procollagen_I_PCI_ELISA_Kit/
RD-Salusinb-Ra	Rat Salusin Beta ELISA Kit	SALb  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.25-2000pg/mL  	8.59pg/mL  	competitive inhibition  	96T  	696.7	48T  	487.7	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/5246/Rat_Salusin_Beta_ELISA_Kit/
RDR-Salusinb-Ra	Rat Salusin Beta ELISA Kit	SALb  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.25-2000pg/mL  	8.59pg/mL  	competitive inhibition  	96T  	731.5	48T  	512	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/13440/Rat_Salusin_Beta_ELISA_Kit/
