Catalogue	Full Name	Alternatives	Species	Sample Type	Detection Range	Sensitivity	Experimental Method	Size	Marketing Price（USD）	Size	Marketing Price(USD)	Shelf Life	Gene ID	UniProtKB	Product Link
RDR-AP12-Hu	Human Apelin 12 (AP12) ELISA Kit	APLN12  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	93.7-6000pg/mL  	25.16pg/mL  	competitive inhibition  	96T  	617.72	48T  	432.39	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8851/Human_Apelin_12_AP12_ELISA_Kit/
RD-BK-Hu	Human Bradykinin (BK) ELISA Kit	  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.2-2000pg/mL  	8.65pg/mL  	competitive inhibition  	96T  	588.3	48T  	411.8	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/13380/Human_Bradykinin_BK_ELISA_Kit/
RDR-BK-Hu	Human Bradykinin (BK) ELISA Kit	  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.2-2000pg/mL  	8.65pg/mL  	competitive inhibition  	96T  	617.72	48T  	432.39	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/10050/Human_Bradykinin_BK_ELISA_Kit/
RD-C1q-Hu	Human Complement 1q (C1q) ELISA Kit	C1-q  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	78.125-5000pg/mL  	35pg/mL  	sandwich  	96T  	396.7	48T  	277.7	12 months  	  		https://www.reddotbiotech.ca/elisa_kits/product/1448/Human_Complement_1q_C1q_ELISA_Kit/
RDR-C1q-Hu	Human Complement 1q (C1q) ELISA Kit	C1-q  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	78.1-5000pg/mL  	35pg/mL  	sandwich  	96T  	416.54	48T  	291.59	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/9408/Human_Complement_1q_C1q_ELISA_Kit/
RD-C3c-Hu	Human Complement C3 Convertase (C3c) ELISA Kit	C4b2a  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.781-50ng/mL  	0.37ng/mL  	sandwich  	96T  	530	48T  	371	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/1462/Human_Complement_C3_Convertase_C3c_ELISA_Kit/
RDR-C3c-Hu	Human Complement C3 Convertase (C3c) ELISA Kit	C4b2a  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.781-50ng/mL  	0.37ng/mL  	sandwich  	96T  	556.5	48T  	389.55	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/9410/Human_Complement_C3_Convertase_C3c_ELISA_Kit/
RD-C4-Hu	Human Complement Component 4 (C4) ELISA Kit	C4BP-a,Complement Component 4 Binding Protein,Alpha  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	4.687-300ng/mL  	1.9ng/mL  	sandwich  	96T  	588.3	48T  	411.8	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/1475/Human_Complement_Component_4_C4_ELISA_Kit/
RDR-C4-Hu	Human Complement Component 4 (C4) ELISA Kit	C4BP-a,Complement Component 4 Binding Protein,Alpha  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	4.68-300ng/mL  	1.9ng/mL  	sandwich  	96T  	617.72	48T  	432.39	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/9419/Human_Complement_Component_4_C4_ELISA_Kit/
RD-C4a-Hu	Human Complement Component 4a (C4a) ELISA Kit	C4a anaphylatoxin  	Homo sapiens human  	serum, plasma and other biological fluids.  	0.156-10ng/mL  	0.058ng/mL  	sandwich  	96T  	588.3	48T  	411.8	12 months  	720	P0C0L4	https://www.reddotbiotech.ca/elisa_kits/product/1467/Human_Complement_Component_4a_C4a_ELISA_Kit/
